2015/JUNE/21,17:14:59,7986
2015/JUNE/21,17:53:18,145
2015/JUNE/21,18:9:1,145
2015/JUNE/21,18:11:33,178
2015/JUNE/21,18:26:22,189
2015/JUNE/21,18:41:26,189
2015/JUNE/21,18:56:52,213
2015/JUNE/21,19:11:34,277
2015/JUNE/21,19:27:27,376
2015/JUNE/21,19:41:37,521
2015/JUNE/21,19:56:26,702
2015/JUNE/21,20:11:35,723
2015/JUNE/21,20:27:33,794
2015/JUNE/21,20:41:18,819
2015/JUNE/21,20:56:18,883
2015/JUNE/21,21:11:17,1072
2015/JUNE/21,21:26:16,1072
2015/JUNE/21,21:41:47,1088
2015/JUNE/21,21:56:32,1268
2015/JUNE/21,22:11:17,1408
2015/JUNE/21,22:26:20,1547
2015/JUNE/21,22:42:5,1600
2015/JUNE/21,23:0:1,1600
2015/JUNE/21,23:11:25,1600
2015/JUNE/21,23:27:31,1600
2015/JUNE/21,23:41:25,1600
2015/JUNE/21,23:56:19,1730
2015/JUNE/22,0:11:34,1730
2015/JUNE/22,0:26:16,1730
2015/JUNE/22,0:44:11,1730
2015/JUNE/22,0:59:41,1730
2015/JUNE/22,1:11:16,1730
2015/JUNE/22,1:26:16,1730
2015/JUNE/22,1:45:1,1730
2015/JUNE/22,2:0:1,1730
2015/JUNE/22,2:11:34,1730
2015/JUNE/22,2:26:37,1730
2015/JUNE/22,2:44:42,1730
2015/JUNE/22,2:56:40,1730
2015/JUNE/22,3:11:34,1730
2015/JUNE/22,3:27:31,1730
2015/JUNE/22,3:45:1,1730
2015/JUNE/22,4:0:0,1730
2015/JUNE/22,4:11:34,1730
2015/JUNE/22,4:27:31,1730
2015/JUNE/22,4:41:34,1730
2015/JUNE/22,5:0:1,1730
2015/JUNE/22,5:11:34,1730
2015/JUNE/22,5:27:31,1730
2015/JUNE/22,5:41:36,1730
2015/JUNE/22,5:56:40,1730
2015/JUNE/22,6:11:34,1730
2015/JUNE/22,6:27:31,1730
2015/JUNE/22,6:45:1,1730
2015/JUNE/22,7:0:1,1730
2015/JUNE/22,7:11:34,1730
2015/JUNE/22,7:27:30,1730
2015/JUNE/22,7:41:26,1730
2015/JUNE/22,7:56:20,1730
2015/JUNE/22,8:11:34,1808
2015/JUNE/22,8:26:20,1835
2015/JUNE/22,8:42:1,1877
2015/JUNE/22,8:56:57,1877
2015/JUNE/22,9:11:17,1877
2015/JUNE/22,9:26:24,1877
2015/JUNE/22,9:41:46,2111
2015/JUNE/22,9:56:47,2111
2015/JUNE/22,10:11:34,2111
2015/JUNE/22,10:27:24,2111
2015/JUNE/22,10:41:30,2111
2015/JUNE/22,10:56:40,2111
2015/JUNE/22,11:11:20,2111
2015/JUNE/22,11:27:30,2111
2015/JUNE/22,11:41:31,2431
2015/JUNE/22,11:56:52,2431
2015/JUNE/22,12:11:31,2431
2015/JUNE/22,12:26:17,2431
2015/JUNE/22,12:39:25,2739
2015/JUNE/22,12:54:41,2739
2015/JUNE/22,13:10:18,3008
2015/JUNE/22,13:24:32,3492
2015/JUNE/22,13:39:33,3492
2015/JUNE/22,13:55:21,3492
2015/JUNE/22,14:9:27,3492
2015/JUNE/22,14:24:30,3492
2015/JUNE/22,14:39:28,3492
2015/JUNE/22,14:54:47,3948
2015/JUNE/22,15:9:31,4294
2015/JUNE/22,15:24:32,4544
2015/JUNE/22,15:39:32,4731
2015/JUNE/22,15:54:26,4731
2015/JUNE/22,16:9:30,4731
2015/JUNE/22,16:24:30,4737
